"row_id","x","y","z","Mvir","Mtot"
297,4.6249,5.5265,0.6188,1200500000000,1205600000000
298,38.3332,20.6499,29.7821,1198500000000,1200400000000
299,27.6148,19.5695,32.7134,1198400000000,1198400000000
300,22.8927,24.7004,23.7713,1196700000000,1249000000000
301,17.5475,33.122,29.0322,1190600000000,1202400000000
302,14.8801,23.2456,36.0114,1181800000000,1327100000000
303,29.0663,15.6996,17.5717,1180700000000,1180700000000
304,33.6752,11.671,9.5086,1169700000000,2014100000000
305,17.2378,8.0661,8.905,1158800000000,1458400000000
306,27.8167,30.0849,1.0635,1157600000000,1180100000000
307,16.9314,39.6509,14.1034,1157000000000,1235400000000
308,7.0641,2.3223,11.3848,1156400000000,1161900000000
309,26.1049,33.8122,1.1155,1154800000000,2018100000000
310,13.0928,4.0307,9.5363,1149400000000,1174300000000
311,19.0561,17.7829,37.6045,1143300000000,1146800000000
312,13.8011,21.1877,15.2523,1141000000000,1143700000000
313,9.379,25.5582,13.0003,1129900000000,1184700000000
314,36.0924,0.1377,31.6082,1128900000000,1130600000000
315,32.4323,11.6681,6.2136,1124300000000,1189500000000
316,22.3307,13.4104,9.1047,1106900000000,1192300000000
317,3.5277,29.4497,16.6229,1100400000000,1109100000000
318,39.1219,31.3674,10.0868,1099300000000,1099600000000
319,16.0582,35.1859,22.1236,1094400000000,1104400000000
320,35.1575,12.9688,20.6565,1092400000000,1101700000000
321,4.6081,31.6493,18.5766,1088900000000,1112700000000
322,14.185,25.3258,25.7179,1078100000000,1111700000000
323,35.8737,23.6842,4.88,1073600000000,1192000000000
324,21.2454,12.2673,9.1777,1071600000000,1639400000000
325,28.3418,21.9201,19.6891,1071600000000,1176200000000
326,27.8868,16.1156,32.4573,1065900000000,1917600000000
327,26.3074,21.5794,13.2011,1062300000000,2058100000000
328,5.0493,28.1263,24.9391,1059700000000,1249800000000
329,14.1947,25.3055,22.1629,1059000000000,1141600000000
330,15.0098,18.5294,35.8895,1058100000000,1093100000000
331,30.1756,9.5674,21.8799,1056300000000,1094800000000
332,27.0682,33.6933,3.7426,1052500000000,1450300000000
333,3.5124,19.0255,13.4108,1052200000000,1055900000000
334,10.0148,11.0026,11.235,1051900000000,1209200000000
